isw_id,isw_distance,isw_pi
1,0,0
2,0,0
3,1,0.01
4,1,0.03
5,2,0
6,2,0.01
7,3,0.03
8,3,0
9,4,0
10,4,0
11,5,0.02
12,5,0
13,6,0.01
14,6,0.02
15,7,0.01
16,7,0
17,8,0.01
18,8,0.01
19,9,0
20,9,0
21,10,0.01
22,10,0.01
23,11,0.01
24,11,0.01
25,12,0
26,12,0.01
27,13,0
28,13,0
29,14,0.01
30,14,0
31,15,0.04
32,15,0.01
33,16,0.04
34,16,0.02
35,17,0.01
36,17,0.01
37,18,0.032258064516129
38,0,0
39,0,0
40,1,0
41,1,0.01
42,2,0
43,2,0
44,3,0.01
45,3,0.03
46,4,0.04
47,4,0.02
48,5,0.02
49,5,0.01
50,6,0.0192307692307692
51,6,0.0194174757281553
52,0,0
53,0,0
54,1,0
55,1,0.00862068965517241
56,0,0.0125
57,0,0
58,0,0.0181818181818182
59,0,0
60,0,0
61,0,0.04
62,1,0
63,1,0.01
64,2,0.01
65,2,0
66,3,0
67,3,0
68,4,0.01
69,4,0
70,5,0
71,5,0.01
72,6,0
73,6,0
74,7,0.01
75,7,0.02
76,8,0
77,8,0.02
78,9,0
79,9,0.01
80,10,0
81,10,0
82,11,0.01
83,11,0.01
84,12,0.02
85,12,0.01
86,13,0.03
87,13,0
88,14,0.01
89,14,0.01
90,15,0
91,15,0
92,16,0.01
93,16,0.02
94,17,0
95,17,0.03
96,18,0
97,18,0
98,19,0.01
99,19,0
100,20,0.01
101,20,0
102,21,0.01
103,21,0.03
104,22,0
105,22,0.02
106,23,0.01
107,23,0
108,24,0
109,24,0.03
110,25,0.01
111,25,0
112,26,0
113,26,0.02
114,27,0.01
115,27,0.02
116,28,0
117,28,0
118,29,0
119,29,0
120,30,0
121,30,0.03
122,31,0.01
123,31,0.01
124,32,0.01
125,32,0
126,33,0.01
127,33,0.01
128,34,0
129,34,0
130,35,0.02
131,35,0
132,36,0.01
133,36,0.01
134,37,0
135,37,0.02
136,38,0.01
137,38,0
138,39,0
139,39,0.04
140,40,0.01
141,40,0.03
142,41,0
143,41,0
144,42,0.01
145,42,0.01
146,43,0
147,43,0.03
148,44,0.01
149,44,0
150,45,0
151,45,0
152,46,0.01
153,46,0.01
154,47,0.03
155,47,0.01
156,48,0.02
157,48,0.01
158,49,0.01
159,49,0.01
160,50,0.02
161,50,0
162,51,0
163,51,0
164,52,0.01
165,52,0
166,53,0
167,53,0
168,54,0
169,54,0
170,55,0.01
171,55,0.02
172,56,0.012987012987013
173,0,0.02
174,0,0.02
175,1,0
176,1,0.01
177,2,0.01
178,2,0.01
179,3,0.01
180,3,0
181,4,0.01
182,4,0
183,5,0
184,5,0
185,6,0
186,6,0.01
187,7,0
188,7,0
189,8,0.0078125
190,8,0
191,0,0
192,0,0.02
193,1,0.01
194,1,0.02
195,2,0.01
196,2,0
197,3,0
198,3,0
199,4,0.01
200,4,0
201,5,0
202,5,0
203,6,0.02
